?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/ZP_0013612>	"Abnormal(ly) morphology (of) myotome of sarcomere."	
<http://purl.obolibrary.org/obo/ZP_0012834>	"Abnormal(ly) normal amount (of) D cell."	
<http://purl.obolibrary.org/obo/ZP_0151844>	"Abnormal(ly) decreased occurrence (of) larval feeding behavior."	
<http://purl.obolibrary.org/obo/ZP_0128084>		
<http://purl.obolibrary.org/obo/ZFA_0005525>		
<http://purl.obolibrary.org/obo/ZP_0127985>		
<http://purl.obolibrary.org/obo/ZP_0014078>	"Abnormal(ly) process quality (of) disaccharide biosynthetic process."	
<http://purl.obolibrary.org/obo/ZP_0020633>	"Abnormal(ly) absent (of) retinal inner plexiform layer."	
<http://purl.obolibrary.org/obo/ZP_0003885>	"Abnormal(ly) spheroid (of) branchiostegal ray of chondrocyte."	
<http://purl.obolibrary.org/obo/ZP_0130006>		
<http://purl.obolibrary.org/obo/ZP_0109852>	"Abnormality of extrahepatic duct."	
<http://purl.obolibrary.org/obo/GO_0034312>		
<http://purl.obolibrary.org/obo/ZP_0144625>	"Abnormal(ly) increased amount (of) spleen of phosphatidylglycerol 44:12."	
<http://purl.obolibrary.org/obo/ZFA_0007088>		
<http://purl.obolibrary.org/obo/ZP_0016409>	"Abnormal(ly) regular sleep pattern (of) locomotion."	
<http://purl.obolibrary.org/obo/ZP_0155187>	"Abnormal(ly) normal amount (of) whole organism of tyrosine."	
<http://purl.obolibrary.org/obo/ZP_0008034>	"Abnormal(ly) decreased size (of) skeletal muscle of contractile muscle fiber."	
<http://purl.obolibrary.org/obo/ZP_0107921>	"Abnormality of gonad."	
<http://purl.obolibrary.org/obo/CHEBI_58001>	"The conjugate acid of a primary aliphatic amine."	
<http://purl.obolibrary.org/obo/GO_0035776>		
<http://purl.obolibrary.org/obo/ZP_0010378>	"Abnormal(ly) bilateral symmetry (of) ventral mandibular arch."	
<http://purl.obolibrary.org/obo/ZP_0009102>	"Abnormal(ly) apoptotic (of) retinal neural layer."	
<http://purl.obolibrary.org/obo/ZP_0014499>	"Abnormal(ly) decreased amount (of) heart of blood cell."	
<http://purl.obolibrary.org/obo/ZP_0106976>	"Abnormal(ly) process quality (of) aggressive behavior."	
<http://purl.obolibrary.org/obo/ZFA_0005524>		
<http://purl.obolibrary.org/obo/ZP_0101053>	"Delayed habenula development."	
<http://purl.obolibrary.org/obo/ZP_0015988>	"Abnormal determination of adult lifespan."	
<http://purl.obolibrary.org/obo/ZP_0127986>		
<http://purl.obolibrary.org/obo/GO_0140445>		
<http://purl.obolibrary.org/obo/ZP_0147364>	"Abnormal(ly) normal amount (of) liver of D-glucosylsphingosine."	
<http://purl.obolibrary.org/obo/ZP_0140026>	"Abnormal(ly) increased amount (of) eye photoreceptor cell."	
<http://purl.obolibrary.org/obo/PATO_0001770>		
<http://purl.obolibrary.org/obo/ZP_0128085>		
<http://purl.obolibrary.org/obo/ZP_0147464>	"The presence of one or more abnormal holes in vertebra."	
<http://purl.obolibrary.org/obo/ZP_0130007>		
<http://purl.obolibrary.org/obo/ZP_0008902>	"Abnormal(ly) increased distance (of) vertebra (vertebra)."	
<http://purl.obolibrary.org/obo/ZP_0104160>	"Abnormal(ly) increased amount (of) medial caudal lobe."	
<http://purl.obolibrary.org/obo/ZP_0100115>	"Any unspecified morphological anomaly of the paired fin, such as, for example, abnormal shape or colour."	
<http://purl.obolibrary.org/obo/ZP_0007264>	"Abnormal(ly) process quality (of) startle response."	
<http://purl.obolibrary.org/obo/ZP_0016536>	"Abnormal(ly) disrupted (of) neuromast hair cell of intracellular calcium ion homeostasis."	
<http://purl.obolibrary.org/obo/ZP_0011085>	"Abnormal(ly) transformed to (of) adenohypophyseal placode (lens)."	
<http://purl.obolibrary.org/obo/GO_0034311>		
<http://purl.obolibrary.org/obo/CHEBI_176843>	"Any member of a group of cobalamin vitamers that exhibit biological activity against vitamin B<small><sub>12</sub></small> deficiency. Vitamin B<small><sub>12</sub></small> deficiency is associated with low red blood cell count and anemia. The vitamers are found in foods such as cereals, meat, fish, and poultry. The vitamers include adenosylcobalamin, hydroxocobalamin, cyanocobalamin, aquacobalamin, nitritocobalamin and methylcobabalamin (also includes their ionized, salt and phosphate derivatives)."	
<http://purl.obolibrary.org/obo/ZP_0017223>	"Abnormal(ly) process quality (of) skeletal system development."	
<http://purl.obolibrary.org/obo/ZFA_0007089>		
<http://purl.obolibrary.org/obo/ZP_0152873>	"Abnormal(ly) decreased occurrence (of) whole organism of response to tumor necrosis factor."	
<http://purl.obolibrary.org/obo/ZP_0013972>	"An abnormal reduction in the size of the fin fold actinotrichium."	
<http://purl.obolibrary.org/obo/ZP_0140570>	"Abnormal(ly) decreased amount (of) testis of 11-Ketoandrosterone."	
<http://purl.obolibrary.org/obo/ZP_0014728>	"Abnormal(ly) organized (of) myotome of skeletal muscle myofibril."	
<http://purl.obolibrary.org/obo/ZP_0138318>	"Abnormal(ly) functional (of) atrioventricular valve."	
<http://purl.obolibrary.org/obo/ZP_0017455>	"Abnormal(ly) cellular adhesivity (of) thrombocyte."	
<http://purl.obolibrary.org/obo/GO_0035775>		
<http://purl.obolibrary.org/obo/ZP_0143465>	"Abnormal(ly) occurrence (of) ossification."	
<http://purl.obolibrary.org/obo/GO_0001958>		
<http://purl.obolibrary.org/obo/ZP_0009507>	"Abnormal(ly) disrupted (of) cerebellar Purkinje cell differentiation."	
<http://purl.obolibrary.org/obo/ZP_0104561>	"Abnormal(ly) decreased distribution (of) presumptive rhombomere 4."	
<http://purl.obolibrary.org/obo/ZP_0127983>		
<http://purl.obolibrary.org/obo/ZP_0139792>	"Abnormal spatial pattern of anterior neural rod."	
<http://purl.obolibrary.org/obo/ZP_0128082>		
<http://purl.obolibrary.org/obo/ZP_0148724>	"Abnormal(ly) condensed (of) atrium."	
<http://purl.obolibrary.org/obo/ZP_0103359>	"Abnormal(ly) present (of) otic vesicle of hair cell."	
<http://purl.obolibrary.org/obo/ZFA_0005527>		
<http://purl.obolibrary.org/obo/ZP_0015498>	"A decrease in the thickness of the photoreceptor outer segment layer."	
<http://purl.obolibrary.org/obo/ZP_0130008>		
<http://purl.obolibrary.org/obo/ZP_0011590>	"A decreased occurrence of cell population proliferation in intersegmental vein."	
<http://purl.obolibrary.org/obo/ZP_0014234>	"A wholly posteriorized endoderm."	
<http://purl.obolibrary.org/obo/ZP_0007829>	"Abnormal(ly) undulate (of) posterior intestine."	
<http://purl.obolibrary.org/obo/ZP_0100756>	"Abnormal(ly) increased amount (of) posterior lateral line neuromast of neuromast hair cell."	
<http://purl.obolibrary.org/obo/ZP_0153024>	"Abnormal(ly) spatial pattern (of) hindbrain of astrocyte."	
<http://purl.obolibrary.org/obo/ZP_0005405>	"Abnormal(ly) malformed (of) pharyngeal arch 2 skeleton of joint."	
<http://purl.obolibrary.org/obo/ZP_0017745>	"An abnormal location of basihyal bone."	
<http://purl.obolibrary.org/obo/ZP_0008830>	"Abnormal(ly) has fewer parts of type (of) dilatator operculi (skeletal muscle cell)."	
<http://purl.obolibrary.org/obo/ZP_0110242>	"Abnormality of caudal mesencephalo-cerebellar tract."	
<http://purl.obolibrary.org/obo/ZP_0001136>	"Abnormal(ly) truncated (of) notochord."	
<http://purl.obolibrary.org/obo/ZP_0106619>	"Abnormal(ly) mislocalised radially (of) cardiac muscle cell."	
<http://purl.obolibrary.org/obo/ZP_0106409>	"Abnormal(ly) increased rate (of) defense response to bacterium."	
<http://purl.obolibrary.org/obo/ZP_0100114>	"Abnormal(ly) normal amount (of) cardiac muscle cell."	
<http://purl.obolibrary.org/obo/ZP_0109531>	"Abnormality of parapophysis/rib."	
<http://purl.obolibrary.org/obo/ZP_0017184>	"Abnormal(ly) hypoplastic (of) endocardial cushion."	
<http://purl.obolibrary.org/obo/GO_0035774>		
<http://purl.obolibrary.org/obo/ZP_0007285>	"Abnormal(ly) fragile (of) mid cerebral vein."	
<http://purl.obolibrary.org/obo/GO_0001957>		
<http://purl.obolibrary.org/obo/ZP_0006425>	"Increased width of pharyngeal arch 2 skeleton."	
<http://purl.obolibrary.org/obo/ZFA_0005526>		
<http://purl.obolibrary.org/obo/ZP_0127984>		
<http://purl.obolibrary.org/obo/ZP_0128083>		
<http://purl.obolibrary.org/obo/ZP_0018551>	"Abnormal(ly) lacks all parts of type (of) posterior pronephric duct (posterior pronephric duct of motile cilium)."	
<http://purl.obolibrary.org/obo/ZP_0017079>	"Decreased qualitatively cell population proliferation in pronephric glomerulus."	
<http://purl.obolibrary.org/obo/ZP_0130009>		
<http://purl.obolibrary.org/obo/ZP_0109253>	"Abnormal(ly) quality (of) alkali secreting cell."	
<http://purl.obolibrary.org/obo/ZP_0008423>	"Abnormal(ly) curvature (of) somite border."	
<http://purl.obolibrary.org/obo/ZP_0144229>	"Abnormal(ly) normal amount (of) brain of gamma-aminobutyric acid."	
<http://purl.obolibrary.org/obo/ZP_0003703>	"Abnormal(ly) mislocalised (of) oocyte stage I of mitochondrion."	
<http://purl.obolibrary.org/obo/ZP_0105836>	"An increase in the level of lipid in blood vessel."	
<http://purl.obolibrary.org/obo/ZP_0128921>		
<http://purl.obolibrary.org/obo/ZP_0102055>	"Abnormal(ly) decreased amount (of) xanthophore of cell projection."	
<http://purl.obolibrary.org/obo/ZP_0139916>	"Abnormal(ly) decreased amount (of) liver of glutathione."	
<http://purl.obolibrary.org/obo/ZP_0011367>	"Abnormal(ly) desaturated yellow (of) whole organism."	
<http://purl.obolibrary.org/obo/ZP_0103037>	"Abnormal(ly) disrupted (of) oocyte stage IV of meiosis II nuclear membrane disassembly."	
<http://purl.obolibrary.org/obo/ZP_0013271>	"Abnormal(ly) normal amount (of) pharyngeal arch of endothelial cell."	
<http://purl.obolibrary.org/obo/ZP_0018074>	"An increased occurrence of apoptotic process in neuromast."	
<http://purl.obolibrary.org/obo/CHEBI_64521>	"A 1,2-diacyl-<em>sn</em>-glycero-3-phosphocholine in which the acyl groups at C-1 and C-2 contain 40 carbons in total with 7 double bonds."	
<http://purl.obolibrary.org/obo/ZP_0006745>	"The presence of a reduced number of mucus secreting cell."	
<http://purl.obolibrary.org/obo/ZP_0103100>	"Abnormal(ly) morphology (of) caudal fin principal ray."	
<http://purl.obolibrary.org/obo/ZP_0012524>	"Any structural anomaly of parapineal organ that causes there to be fewer parts of type cell."	
<http://purl.obolibrary.org/obo/ZP_0015910>	"Abnormal(ly) increased process quality (of) dorsal fin lepidotrichium of canonical Wnt signaling pathway."	
<http://purl.obolibrary.org/obo/ZP_0018837>	"Abnormal(ly) disrupted (of) detection of mechanical stimulus involved in sensory perception of sound."	
<http://purl.obolibrary.org/obo/GO_0035773>		
<http://purl.obolibrary.org/obo/ZP_0127989>		
<http://purl.obolibrary.org/obo/ZP_0106530>	"Abnormal(ly) decreased occurrence (of) endocardium morphogenesis."	
<http://purl.obolibrary.org/obo/ZP_0009419>	"Abnormal(ly) decreased amount (of) ciliated cell of inner dynein arm."	
<http://purl.obolibrary.org/obo/ZP_0128088>		
<http://purl.obolibrary.org/obo/ZFA_0005529>		
<http://purl.obolibrary.org/obo/ZP_0139771>	"Abnormal(ly) inactive (of) ventricular system of motile cilium."	
<http://purl.obolibrary.org/obo/ZP_0022025>	"Abnormal(ly) increased occurrence (of) cardiac ventricle of BMP signaling pathway."	
<http://purl.obolibrary.org/obo/ZP_0140535>	"Any unspecified morphological anomaly of the lymph vessel, such as, for example, abnormal shape or colour."	
<http://purl.obolibrary.org/obo/ZP_0015504>	"Abnormal(ly) morphology (of) macula utricle."	
<http://purl.obolibrary.org/obo/ZP_0128089>		
<http://purl.obolibrary.org/obo/ZP_0141949>	"Abnormal(ly) decreased occurrence (of) central nervous system of apoptotic process."	
<http://purl.obolibrary.org/obo/ZP_0152806>	"Abnormal(ly) increased rate (of) lactate biosynthetic process."	
<http://purl.obolibrary.org/obo/ZP_0110066>	"Abnormal(ly) quality (of) mesenchymal lymphangioblast."	
<http://purl.obolibrary.org/obo/ZP_0128922>		
<http://purl.obolibrary.org/obo/ZP_0007689>	"Abnormal(ly) aplastic (of) pronephric glomerulus."	
<http://purl.obolibrary.org/obo/ZP_0109585>	"Abnormality of olfactory epithelium."	
<http://purl.obolibrary.org/obo/ZP_0010324>	"Abnormal(ly) increased width (of) blood island."	
<http://purl.obolibrary.org/obo/ZP_0102482>	"Abnormal(ly) decreased process quality (of) intersegmental artery of sprouting angiogenesis."	
<http://purl.obolibrary.org/obo/ZP_0144898>	"Partial or complete degeneration of axon terminus tissue in the peripheral neuron that was once present."	
<http://purl.obolibrary.org/obo/ZP_0003775>	"Abnormal(ly) process quality (of) cell cycle."	
<http://purl.obolibrary.org/obo/ZP_0006939>	"Abnormal(ly) has fewer parts of type (of) spinal cord (motor neuron)."	
<http://purl.obolibrary.org/obo/GO_0001959>		
<http://purl.obolibrary.org/obo/ZP_0107160>	"Abnormal(ly) decreased amount (of) optic primordium."	
<http://purl.obolibrary.org/obo/CHEBI_33549>		
<http://purl.obolibrary.org/obo/ZP_0007724>	"Abnormal(ly) aplastic (of) pronephric distal late tubule."	
<http://purl.obolibrary.org/obo/ZP_0012926>	"Any unspecified morphological anomaly of the intersegmental vein, such as, for example, abnormal shape or colour."	
<http://purl.obolibrary.org/obo/ZP_0013875>	"Abnormal(ly) morphology (of) forerunner cell group."	
<http://purl.obolibrary.org/obo/ZP_0153090>	"Abnormal(ly) decreased distance (of) ceratohyal cartilage of posterior side (ceratohyal cartilage of posterior side)."	
<http://purl.obolibrary.org/obo/ZP_0147059>	"Abnormal(ly) disorganized (of) retinal rod cell of photoreceptor inner segment."	
<http://purl.obolibrary.org/obo/ZP_0148987>	"Abnormal(ly) degenerate (of) ceratobranchial cartilage."	
<http://purl.obolibrary.org/obo/ZP_0100002>	"Abnormal(ly) increased distribution (of) choroid plexus."	
<http://purl.obolibrary.org/obo/ZFA_0005528>		
<http://purl.obolibrary.org/obo/ZP_0001208>	"A decrease in the thickness of the cardiac ventricle."	
<http://purl.obolibrary.org/obo/ZP_0000747>	"Abnormal(ly) disorganized (of) ventricular myocardium of sarcomere."	
<http://purl.obolibrary.org/obo/ZP_0143038>	"An increase in the level of ganglioside GM1 in hindbrain."	
<http://purl.obolibrary.org/obo/ZP_0009343>	"Abnormal(ly) structure (of) integument of basement membrane."	
<http://purl.obolibrary.org/obo/ZP_0017444>	"Abnormal(ly) normal amount (of) blood island of macrophage."	
<http://purl.obolibrary.org/obo/ZP_0148248>	"Abnormal(ly) decreased amount (of) gonad of spermatocyte."	
<http://purl.obolibrary.org/obo/ZP_0108380>	"Abnormal(ly) quality (of) presumptive rhombomere 3."	
<http://purl.obolibrary.org/obo/ZP_0100508>	"Abnormal(ly) increased amount (of) pharyngeal arch 3-7."	
<http://purl.obolibrary.org/obo/ZP_0005439>	"Abnormal(ly) decreased amount (of) lateral crista of hair cell."	
<http://purl.obolibrary.org/obo/ZP_0129021>		
<http://purl.obolibrary.org/obo/ZP_0021518>	"Abnormal(ly) increased amount (of) thymus."	
<http://purl.obolibrary.org/obo/ZP_0018561>	"Abnormal(ly) decreased process quality (of) hematopoietic progenitor cell differentiation."	
<http://purl.obolibrary.org/obo/ZP_0152269>	"Abnormal(ly) has extra parts of type (of) brain vasculature of blood vessel endothelial cell (blood vessel endothelial cell of plasma membrane bounded cell projection)."	
<http://purl.obolibrary.org/obo/ZP_0144168>	"Abnormal(ly) decreased diameter (of) aortic arch of lumen."	
<http://purl.obolibrary.org/obo/ZP_0100540>	"Abnormal(ly) amount (of) ceratohyal cartilage of chondrocyte."	
<http://purl.obolibrary.org/obo/ZP_0151525>	"Abnormal(ly) molecular quality (of) trunk of cilium."	
<http://purl.obolibrary.org/obo/ZP_0018484>	"Decreased qualitatively regulation of synaptic transmission, cholinergic in myotome."	
<http://purl.obolibrary.org/obo/ZP_0014752>	"Abnormal(ly) increased process quality (of) lens of apoptotic process."	
<http://purl.obolibrary.org/obo/ZP_0020904>	"Abnormal(ly) degeneration (of) muscle cell."	
<http://purl.obolibrary.org/obo/ZP_0127987>		
<http://purl.obolibrary.org/obo/ZP_0140215>	"Abnormal(ly) spatial pattern (of) spinal cord of ependymal cell."	
<http://purl.obolibrary.org/obo/ZP_0142678>	"Abnormal(ly) magnitude (of) cellular senescence."	
<http://purl.obolibrary.org/obo/GO_0035771>		
<http://purl.obolibrary.org/obo/ZP_0105719>	"An abnormality of the cell migration in pronephros."	
<http://purl.obolibrary.org/obo/ZP_0155586>	"Abnormal(ly) increased occurrence (of) serotonergic neuron of neuron differentiation."	
<http://purl.obolibrary.org/obo/ZP_0105996>	"Abnormal(ly) decreased occurrence (of) central artery of angiogenesis."	
<http://purl.obolibrary.org/obo/ZP_0107396>	"Abnormal(ly) quality (of) lepidotrichium."	
<http://purl.obolibrary.org/obo/ZP_0128086>		
<http://purl.obolibrary.org/obo/ZP_0103197>	"Abnormal(ly) increased amount (of) neuromast hair cell of apoptotic body."	
<http://purl.obolibrary.org/obo/ZP_0000139>	"Abnormal(ly) quality (of) gastrulation with mouth forming second."	
<http://purl.obolibrary.org/obo/ZP_0109260>	"Abnormal(ly) quality (of) sclerotome somite 8."	
<http://purl.obolibrary.org/obo/GO_0060556>		
<http://purl.obolibrary.org/obo/ZP_0142833>	"Abnormal(ly) spotted (of) pigment cell (sensu Vertebrata)."	
<http://purl.obolibrary.org/obo/GO_0004457>		
<http://purl.obolibrary.org/obo/ZP_0106887>	"Abnormal(ly) decreased rate (of) regenerating tissue of growth."	
<http://purl.obolibrary.org/obo/ZP_0018047>	"Abnormal(ly) decreased amount (of) spinal cord of myelin sheath."	
<http://purl.obolibrary.org/obo/ZP_0014050>	"Abnormal(ly) increased size (of) trunk."	
<http://purl.obolibrary.org/obo/ZP_0128920>		
<http://purl.obolibrary.org/obo/ZP_0129020>		
<http://purl.obolibrary.org/obo/CHEBI_64909>	"Any substance that causes disturbance to organisms by chemical reaction or other activity on the molecular scale, when a sufficient quantity is absorbed by the organism."	
<http://purl.obolibrary.org/obo/ZP_0006372>	"A deviation from the normal size of the blastomere."	
<http://purl.obolibrary.org/obo/ZP_0005760>	"Decreased qualitatively neuromuscular synaptic transmission."	
<http://purl.obolibrary.org/obo/ZP_0142078>	"Abnormal(ly) decreased amount (of) brain of GABAergic neuron."	
<http://purl.obolibrary.org/obo/ZP_0145724>	"Decreased qualitatively octopamine biosynthetic process."	
<http://purl.obolibrary.org/obo/ZP_0103544>	"Abnormal(ly) absent (of) parapineal organ."	
<http://purl.obolibrary.org/obo/ZP_0014727>	"Absence of bulbus arteriosus."	
<http://purl.obolibrary.org/obo/ZP_0021655>	"Any structural anomaly that causes there to be an abnormal number vascular lymphangioblast."	
<http://purl.obolibrary.org/obo/ZP_0141628>	"Abnormal(ly) decreased occurrence (of) motor neuron of axon extension involved in regeneration."	
<http://purl.obolibrary.org/obo/ZP_0147736>	"Abnormal(ly) normal amount (of) whole organism of calcium cation."	
<http://purl.obolibrary.org/obo/ZP_0127988>		
<http://purl.obolibrary.org/obo/ZP_0153881>	"Abnormal(ly) decreased distance (of) optic tectum (optic tectum)."	
<http://purl.obolibrary.org/obo/PATO_0001772>		
<http://purl.obolibrary.org/obo/ZP_0109320>	"Abnormal(ly) quality (of) cleithrum."	
<http://purl.obolibrary.org/obo/GO_0035770>		
<http://purl.obolibrary.org/obo/ZP_0138514>	"A decreased occurrence of epithelial tube formation in gut."	
<http://purl.obolibrary.org/obo/ZP_0149145>	"Abnormal(ly) increased occurrence (of) midbrain of cell population proliferation."	
<http://purl.obolibrary.org/obo/ZP_0022061>	"Any structural anomaly that causes there to be an abnormal number T interneuron."	
<http://purl.obolibrary.org/obo/ZP_0128087>		
<http://purl.obolibrary.org/obo/ZP_0137750>	"Abnormal(ly) onset quality (of) spermatogenesis."	
<http://purl.obolibrary.org/obo/ZP_0152615>	"Abnormal(ly) has normal numbers of parts of type (of) caudal fin lower lobe (caudal fin principal ray)."	
<http://purl.obolibrary.org/obo/ZFA_0007091>		
<http://purl.obolibrary.org/obo/GO_0060557>		
<http://purl.obolibrary.org/obo/ZP_0128925>		
<http://purl.obolibrary.org/obo/ZP_0013939>	"An increase in the size of the optic recess."	
<http://purl.obolibrary.org/obo/ZP_0021264>	"Abnormal(ly) occurrence (of) optic tectum of apoptotic process."	
<http://purl.obolibrary.org/obo/ZP_0146475>	"Abnormal(ly) malformed (of) hepatocyte of nucleus."	
<http://purl.obolibrary.org/obo/ZP_0011032>	"Abnormal(ly) malformed (of) pronephric podocyte of apical part of cell."	
<http://purl.obolibrary.org/obo/ZP_0109677>	"Abnormal(ly) quality (of) basibranchial 1."	
<http://purl.obolibrary.org/obo/ZP_0001257>	"Abnormal(ly) structure, cavities (of) ventricular system."	
<http://purl.obolibrary.org/obo/ZP_0129023>		
<http://purl.obolibrary.org/obo/ZP_0110057>	"Abnormal(ly) quality (of) dorsal accessory optic nucleus."	
<http://purl.obolibrary.org/obo/ZP_0009470>	"Abnormal(ly) shape (of) pronephric podocyte."	
<http://purl.obolibrary.org/obo/ZP_0148561>	"Abnormal(ly) normal amount (of) myotome of skeletal muscle myofibril."	
<http://purl.obolibrary.org/obo/ZP_0002997>	"Abnormal(ly) degenerate (of) lens."	
<http://purl.obolibrary.org/obo/ZP_0141905>	"Abnormal(ly) increased occurrence (of) motor neuron of protein complex oligomerization."	
<http://purl.obolibrary.org/obo/ZP_0146158>	"Abnormal location of the glial cell in the postoptic commissure."	
<http://purl.obolibrary.org/obo/ZP_0005489>	"Abnormal(ly) elliptic (of) cardiac ventricle."	
<http://purl.obolibrary.org/obo/ZP_0018644>	"Abnormal(ly) mislocalised (of) epidermal cell."	
<http://purl.obolibrary.org/obo/ZP_0107697>	"Abnormality of astrocyte."	
<http://purl.obolibrary.org/obo/ZFA_0007092>		
<http://purl.obolibrary.org/obo/ZP_0016659>	"Abnormal location of the anatomical space in the notochord."	
<http://purl.obolibrary.org/obo/ZP_0019865>	"Abnormal(ly) has extra parts of type (of) unfertilized egg of posterior region (unfertilized egg of cortical granule)."	
<http://purl.obolibrary.org/obo/ZP_0128926>		
<http://purl.obolibrary.org/obo/ZP_0140905>	"Abnormal(ly) decreased distribution (of) vascular endothelium."	
<http://purl.obolibrary.org/obo/ZP_0109801>	"Abnormality of rib of vertebra 4."	
<http://purl.obolibrary.org/obo/ZP_0130010>		
<http://purl.obolibrary.org/obo/ZP_0012388>	"Abnormal(ly) decreased process quality (of) amacrine cell differentiation."	
<http://purl.obolibrary.org/obo/ZP_0129022>		
<http://purl.obolibrary.org/obo/ZP_0004028>	"Abnormal(ly) disorganized (of) muscle cell."	
<http://purl.obolibrary.org/obo/ZP_0149990>	"Abnormal(ly) disrupted (of) distal tubule morphogenesis."	
<http://purl.obolibrary.org/obo/ZP_0021714>	"The presence of an increased number of blood."	
<http://purl.obolibrary.org/obo/ZP_0004877>	"Any unspecified morphological anomaly of the rhombomere, such as, for example, abnormal shape or colour."	
<http://purl.obolibrary.org/obo/GO_0090407>		
<http://purl.obolibrary.org/obo/ZP_0017795>	"Abnormal(ly) occurrence (of) statoacoustic (VIII) ganglion of neuroblast proliferation."	
<http://purl.obolibrary.org/obo/CHEBI_44672>	"An adenosine 3'-phosphate that is ADP carrying a phospate group at the 3'-position. It is potent inhibitor of bovine pancreatic ribonuclease A."	
<http://purl.obolibrary.org/obo/ZP_0011303>	"Abnormal(ly) has fewer parts of type (of) spinal cord (spinal cord interneuron)."	
<http://purl.obolibrary.org/obo/ZP_0000916>	"Abnormal(ly) decreased size (of) ventral mandibular arch."	
<http://purl.obolibrary.org/obo/ZP_0005164>	"Abnormal(ly) poorly differentiated (of) opercle of osteoblast."	
<http://purl.obolibrary.org/obo/ZP_0104273>	"Absence of the nucleate erythrocyte in the intersegmental vein."	
<http://purl.obolibrary.org/obo/ZP_0108263>	"Abnormality of lg5."	
<http://purl.obolibrary.org/obo/ZP_0010746>	"Decreased qualitatively response to light stimulus."	
<http://purl.obolibrary.org/obo/ZP_0141955>	"Abnormal(ly) decreased process quality (of) centrum of osteoblast development."	
<http://purl.obolibrary.org/obo/ZP_0108634>	"Abnormal(ly) quality (of) mature natural killer cell."	
<http://purl.obolibrary.org/obo/ZP_0102437>	"Abnormal(ly) asymmetrical (of) blastomere."	
<http://purl.obolibrary.org/obo/ZP_0003722>	"Abnormal(ly) shape (of) EVL of cell."	
<http://purl.obolibrary.org/obo/CHEBI_132943>		
<http://purl.obolibrary.org/obo/ZFA_0000639>		
<http://purl.obolibrary.org/obo/ZP_0128923>		
<http://purl.obolibrary.org/obo/ZP_0015657>	"Abnormal(ly) decreased amount (of) cell of autophagosome."	
<http://purl.obolibrary.org/obo/ZP_0130011>		
<http://purl.obolibrary.org/obo/ZP_0138347>	"Abnormal(ly) has normal numbers of parts of type (of) thoracic duct (endothelial cell)."	
<http://purl.obolibrary.org/obo/ZP_0018097>	"The presence of a reduced number of cell in the ceratohyal cartilage."	
<http://purl.obolibrary.org/obo/ZP_0109405>	"Abnormality of macula saccule."	
<http://purl.obolibrary.org/obo/ZFA_0007093>		
<http://purl.obolibrary.org/obo/ZP_0153632>	"Abnormal(ly) increased amount (of) ventricular myocardium of calcium ion."	
<http://purl.obolibrary.org/obo/ZP_0011785>	"Defective development of the swim bladder."	
<http://purl.obolibrary.org/obo/ZFA_0005531>		
<http://purl.obolibrary.org/obo/ZP_0107044>	"Abnormal(ly) decreased amount (of) ceratohyal cartilage of cranial neural crest."	
<http://purl.obolibrary.org/obo/ZP_0129025>		
<http://purl.obolibrary.org/obo/ZP_0144501>	"Abnormal(ly) decreased process quality (of) chromosome segregation."	
<http://purl.obolibrary.org/obo/CHEBI_132970>	"A primary ammonium ion obtained by protonation of the amino group of 5-aminolevulinic acid."	
<http://purl.obolibrary.org/obo/ZP_0140777>	"Abnormal(ly) mislocalised (of) whole organism of anterior-posterior axis."	
<http://purl.obolibrary.org/obo/ZP_0150889>	"Abnormal(ly) increased occurrence (of) siderophore biosynthetic process."	
<http://purl.obolibrary.org/obo/ZP_0021070>	"Any structural anomaly that causes pronephric tubule to be curved shaped."	
<http://purl.obolibrary.org/obo/ZP_0104073>	"Abnormal(ly) decreased duration (of) atrial cardiac muscle cell action potential."	
<http://purl.obolibrary.org/obo/ZP_0109036>	"Abnormality of choroidal fissure."	
<http://purl.obolibrary.org/obo/ZP_0128924>		
<http://purl.obolibrary.org/obo/ZP_0130012>		
<http://purl.obolibrary.org/obo/ZP_0107014>	"Any unspecified morphological anomaly of the ceratobranchial 4 cartilage, such as, for example, abnormal shape or colour."	
<http://purl.obolibrary.org/obo/ZFA_0000638>		
<http://purl.obolibrary.org/obo/ZP_0010140>	"An abnormally formed/malformed neuroectoderm."	
<http://purl.obolibrary.org/obo/ZP_0142110>	"Abnormal(ly) decreased process quality (of) lateral crista of cilium assembly."	
<http://purl.obolibrary.org/obo/ZP_0001060>	"Congenital absence of the basal plate cartilage."	
<http://purl.obolibrary.org/obo/ZFA_0007094>		
<http://purl.obolibrary.org/obo/ZP_0130778>	"An increased occurrence of chromosome organization in neuron."	
<http://purl.obolibrary.org/obo/CHEBI_46723>		
<http://purl.obolibrary.org/obo/ZP_0101706>	"A decreased occurrence of female somatic sex determination in immature gonad."	
<http://purl.obolibrary.org/obo/ZP_0005623>	"Abnormal(ly) apoptotic (of) liver."	
<http://purl.obolibrary.org/obo/ZFA_0005530>		
<http://purl.obolibrary.org/obo/ZP_0109768>	"Abnormality of sclerotome somite 14."	
<http://purl.obolibrary.org/obo/ZP_0129024>		
<http://purl.obolibrary.org/obo/ZP_0148839>	"Decreased qualitatively tissue morphogenesis in heart."	
<http://purl.obolibrary.org/obo/GO_0033365>		
<http://purl.obolibrary.org/obo/ZFA_0000637>		
